Site_label,Plot,Plot_ID,Sampling_round,Bee_richness,Bee_abundance
CBS,1,1_CBS1,1,2,2
CBS,2,1_CBS2,1,2,2
CBS,3,1_CBS3,1,3,4
CBS,4,1_CBS4,1,0,0
CBS,5,1_CBS5,1,4,6
CBS,6,1_CBS6,1,2,3
CBS,7,1_CBS7,1,4,4
CBS,8,1_CBS8,1,0,0
CC,1,1_CC1,1,4,4
CC,2,1_CC2,1,3,5
CC,3,1_CC3,1,6,9
CC,4,1_CC4,1,3,3
CC,5,1_CC5,1,0,0
CC,6,1_CC6,1,1,1
CC,7,1_CC7,1,0,0
CC,8,1_CC8,1,2,2
CLV,1,1_CLV1,1,2,2
CLV,2,1_CLV2,1,3,3
CLV,3,1_CLV3,1,1,1
CLV,4,1_CLV4,1,1,1
CLV,5,1_CLV5,1,1,1
CLV,6,1_CLV6,1,1,1
CLV,7,1_CLV7,1,0,0
CLV,8,1_CLV8,1,4,4
CP,1,1_CP1,1,1,1
CP,2,1_CP2,1,1,1
CP,3,1_CP3,1,0,0
CP,4,1_CP4,1,2,2
CP,5,1_CP5,1,0,0
CP,6,1_CP6,1,2,2
CP,7,1_CP7,1,0,0
CP,8,1_CP8,1,0,0
JED,1,1_JED1,1,7,9
JED,2,1_JED2,1,6,7
JED,3,1_JED3,1,9,15
JED,4,1_JED4,1,6,6
JED,5,1_JED5,1,5,9
JED,6,1_JED6,1,12,29
JED,7,1_JED7,1,7,10
JED,8,1_JED8,1,6,8
JL,1,1_JL1,1,3,3
JL,2,1_JL2,1,8,9
JL,3,1_JL3,1,2,3
JL,4,1_JL4,1,3,5
JL,5,1_JL5,1,1,2
JL,6,1_JL6,1,4,5
JL,7,1_JL7,1,2,2
JL,8,1_JL8,1,3,5
JP,1,1_JP1,1,3,4
JP,2,1_JP2,1,5,5
JP,3,1_JP3,1,6,10
JP,4,1_JP4,1,6,8
JP,5,1_JP5,1,5,6
JP,6,1_JP6,1,1,1
JP,7,1_JP7,1,6,6
JP,8,1_JP8,1,5,7
JPM,1,1_JPM1,1,6,7
JPM,2,1_JPM2,1,10,10
JPM,3,1_JPM3,1,9,18
JPM,4,1_JPM4,1,10,17
JPM,5,1_JPM5,1,3,3
JPM,6,1_JPM6,1,5,6
JPM,7,1_JPM7,1,4,4
JPM,8,1_JPM8,1,8,12
JR,1,1_JR1,1,1,1
JR,2,1_JR2,1,1,1
JR,3,1_JR3,1,4,4
JR,4,1_JR4,1,3,6
JR,5,1_JR5,1,3,3
JR,6,1_JR6,1,11,15
JR,7,1_JR7,1,7,7
JR,8,1_JR8,1,7,8
JRE,1,1_JRE1,1,9,11
JRE,2,1_JRE2,1,2,2
JRE,3,1_JRE3,1,8,14
JRE,4,1_JRE4,1,6,6
JRE,5,1_JRE5,1,3,3
JRE,6,1_JRE6,1,5,8
JRE,7,1_JRE7,1,3,3
JRE,8,1_JRE8,1,8,9
JS,1,1_JS1,1,11,17
JS,2,1_JS2,1,10,15
JS,3,1_JS3,1,7,8
JS,4,1_JS4,1,2,3
JS,5,1_JS5,1,8,14
JS,6,1_JS6,1,3,4
JS,7,1_JS7,1,6,9
JS,8,1_JS8,1,10,16
N52,1,1_N521,1,4,4
N52,2,1_N522,1,0,0
N52,3,1_N523,1,2,2
N52,4,1_N524,1,1,2
N52,5,1_N525,1,1,1
N52,6,1_N526,1,1,1
N52,7,1_N527,1,3,4
N52,8,1_N528,1,2,2
NGV,1,1_NGV1,1,5,5
NGV,2,1_NGV2,1,4,5
NGV,3,1_NGV3,1,3,3
NGV,4,1_NGV4,1,5,5
NGV,5,1_NGV5,1,5,5
NGV,6,1_NGV6,1,6,10
NGV,7,1_NGV7,1,2,2
NGV,8,1_NGV8,1,8,12
NPSC,1,1_NPSC1,1,5,8
NPSC,2,1_NPSC2,1,0,0
NPSC,3,1_NPSC3,1,6,6
NPSC,4,1_NPSC4,1,1,1
NPSC,5,1_NPSC5,1,11,16
NPSC,6,1_NPSC6,1,3,3
NPSC,7,1_NPSC7,1,9,12
NPSC,8,1_NPSC8,1,1,2
PBL,1,1_PBL1,1,6,6
PBL,2,1_PBL2,1,5,5
PBL,3,1_PBL3,1,4,8
PBL,4,1_PBL4,1,5,5
PBL,5,1_PBL5,1,4,5
PBL,6,1_PBL6,1,8,13
PBL,7,1_PBL7,1,7,14
PBL,8,1_PBL8,1,6,9
PPPM,1,1_PPPM1,1,1,2
PPPM,2,1_PPPM2,1,7,9
PPPM,3,1_PPPM3,1,0,0
PPPM,4,1_PPPM4,1,2,2
PPPM,5,1_PPPM5,1,2,2
PPPM,6,1_PPPM6,1,3,3
PPPM,7,1_PPPM7,1,0,0
PPPM,8,1_PPPM8,1,2,2
CBS,1,2_CBS1,2,1,3
CBS,2,2_CBS2,2,1,1
CBS,3,2_CBS3,2,2,2
CBS,4,2_CBS4,2,1,1
CBS,5,2_CBS5,2,8,13
CBS,6,2_CBS6,2,4,5
CBS,7,2_CBS7,2,4,7
CBS,8,2_CBS8,2,7,11
CC,1,2_CC1,2,2,3
CC,2,2_CC2,2,4,6
CC,3,2_CC3,2,4,6
CC,4,2_CC4,2,2,2
CC,5,2_CC5,2,1,1
CC,6,2_CC6,2,2,4
CC,7,2_CC7,2,2,4
CC,8,2_CC8,2,3,5
CLV,1,2_CLV1,2,1,1
CLV,2,2_CLV2,2,2,2
CLV,3,2_CLV3,2,4,5
CLV,4,2_CLV4,2,0,0
CLV,5,2_CLV5,2,1,1
CLV,6,2_CLV6,2,0,0
CLV,7,2_CLV7,2,0,0
CLV,8,2_CLV8,2,0,0
CP,1,2_CP1,2,2,2
CP,2,2_CP2,2,5,6
CP,3,2_CP3,2,0,0
CP,4,2_CP4,2,1,1
CP,5,2_CP5,2,1,1
CP,6,2_CP6,2,1,1
CP,7,2_CP7,2,2,2
CP,8,2_CP8,2,2,2
JED,1,2_JED1,2,8,11
JED,2,2_JED2,2,8,14
JED,3,2_JED3,2,8,18
JED,4,2_JED4,2,9,13
JED,5,2_JED5,2,12,31
JED,6,2_JED6,2,8,14
JED,7,2_JED7,2,8,26
JED,8,2_JED8,2,5,17
JL,1,2_JL1,2,2,2
JL,2,2_JL2,2,1,1
JL,3,2_JL3,2,4,5
JL,4,2_JL4,2,0,0
JL,5,2_JL5,2,4,6
JL,6,2_JL6,2,8,13
JL,7,2_JL7,2,6,16
JL,8,2_JL8,2,4,7
JP,1,2_JP1,2,8,15
JP,2,2_JP2,2,5,5
JP,3,2_JP3,2,8,58
JP,4,2_JP4,2,0,0
JP,5,2_JP5,2,2,4
JP,6,2_JP6,2,3,3
JP,7,2_JP7,2,6,6
JP,8,2_JP8,2,0,0
JPM,1,2_JPM1,2,9,15
JPM,2,2_JPM2,2,6,14
JPM,3,2_JPM3,2,8,10
JPM,4,2_JPM4,2,8,16
JPM,5,2_JPM5,2,4,6
JPM,6,2_JPM6,2,14,25
JPM,7,2_JPM7,2,10,17
JPM,8,2_JPM8,2,9,14
JR,1,2_JR1,2,2,2
JR,2,2_JR2,2,1,1
JR,3,2_JR3,2,1,2
JR,4,2_JR4,2,5,5
JR,5,2_JR5,2,4,4
JR,6,2_JR6,2,14,18
JR,7,2_JR7,2,2,2
JR,8,2_JR8,2,6,7
JRE,1,2_JRE1,2,6,6
JRE,2,2_JRE2,2,7,7
JRE,3,2_JRE3,2,5,9
JRE,4,2_JRE4,2,4,5
JRE,5,2_JRE5,2,2,2
JRE,6,2_JRE6,2,8,11
JRE,7,2_JRE7,2,7,8
JRE,8,2_JRE8,2,8,10
JS,1,2_JS1,2,8,15
JS,2,2_JS2,2,9,18
JS,3,2_JS3,2,5,11
JS,4,2_JS4,2,7,13
JS,5,2_JS5,2,9,12
JS,6,2_JS6,2,8,12
JS,7,2_JS7,2,10,17
JS,8,2_JS8,2,4,5
N52,1,2_N521,2,5,5
N52,2,2_N522,2,1,1
N52,3,2_N523,2,2,2
N52,4,2_N524,2,2,2
N52,5,2_N525,2,2,5
N52,6,2_N526,2,2,3
N52,7,2_N527,2,4,6
N52,8,2_N528,2,6,7
NGV,1,2_NGV1,2,2,4
NGV,2,2_NGV2,2,5,8
NGV,3,2_NGV3,2,3,3
NGV,4,2_NGV4,2,3,4
NGV,5,2_NGV5,2,3,4
NGV,6,2_NGV6,2,8,16
NGV,7,2_NGV7,2,6,7
NGV,8,2_NGV8,2,3,3
NPSC,1,2_NPSC1,2,2,2
NPSC,2,2_NPSC2,2,8,8
NPSC,3,2_NPSC3,2,9,9
NPSC,4,2_NPSC4,2,3,5
NPSC,5,2_NPSC5,2,9,11
NPSC,6,2_NPSC6,2,2,2
NPSC,7,2_NPSC7,2,6,13
NPSC,8,2_NPSC8,2,4,5
PBL,1,2_PBL1,2,8,11
PBL,2,2_PBL2,2,7,12
PBL,3,2_PBL3,2,6,10
PBL,4,2_PBL4,2,6,6
PBL,5,2_PBL5,2,5,5
PBL,6,2_PBL6,2,14,21
PBL,7,2_PBL7,2,12,275
PBL,8,2_PBL8,2,5,40
PPPM,1,2_PPPM1,2,4,4
PPPM,2,2_PPPM2,2,0,0
PPPM,3,2_PPPM3,2,3,3
PPPM,4,2_PPPM4,2,0,0
PPPM,5,2_PPPM5,2,0,0
PPPM,6,2_PPPM6,2,0,0
PPPM,7,2_PPPM7,2,0,0
PPPM,8,2_PPPM8,2,5,10